SampleID,Env
ERR4281055,12M
ERR4281016,3Y
ERR4281054,4M
ERR4281017,5Y
ERR4281061,B
ERR4281019,4M
ERR4281020,12M
ERR4281063,3Y
ERR4281021,4M
ERR4281064,5Y
ERR4281022,B
ERR4281023,12M
ERR4281066,3Y
ERR4281024,4M
ERR4281067,5Y
ERR4281025,B
ERR4281026,12M
ERR4281069,4M
ERR4281027,5Y
ERR4281070,B
ERR4281071,12M
ERR4281029,3Y
ERR4281072,4M
ERR4281030,5Y
ERR4281073,B
ERR4281074,12M
ERR4281032,4M
ERR4281075,B
ERR4281076,12M
ERR4281034,3Y
ERR4281077,4M
ERR4281035,5Y
ERR4281078,B
ERR4281037,12M
ERR4281080,4M
ERR4281038,B
ERR4281039,12M
ERR4281082,3Y
ERR4281040,4M
ERR4281083,5Y
ERR4281041,B
ERR4281042,12M
ERR4281085,3Y
ERR4281043,5Y
ERR4281087,12M
ERR4281045,3Y
ERR4281088,4M
ERR4281046,5Y
ERR4281089,B
ERR4281048,12M
ERR4281091,3Y
ERR4281049,4M
ERR4281092,5Y
ERR4281050,B
ERR4281094,12M
ERR4281052,3Y
ERR4281095,4M
ERR4281053,5Y
ERR4281056,B
ERR4281097,12M
ERR4281058,3Y
ERR4281059,4M
ERR4281098,B
ERR4281100,12M
ERR4281101,12M
ERR4281102,3Y
ERR4281103,4M
ERR4281104,5Y
ERR4281105,B
ERR4281107,3Y
ERR4281108,4M
ERR4281109,3Y
ERR4281110,4M
ERR4281111,B
ERR4281115,12M
ERR4281116,3Y
ERR4281117,4M
ERR4281118,5Y
ERR4281120,12M
ERR4281121,3Y
ERR4281122,4M
ERR4281123,5Y
ERR4281124,B
ERR4281128,12M
ERR4281129,3Y
ERR4281130,4M
ERR4281131,5Y
ERR4281132,B
ERR4281135,4M
ERR4281137,12M
ERR4281138,4M
ERR4281139,5Y
ERR4281140,B
ERR4281142,12M
ERR4281144,3Y
ERR4281145,4M
ERR4281146,B
ERR4281149,12M
ERR4281150,3Y
ERR4281151,4M
ERR4281152,5Y
ERR4281156,12M
ERR4281157,3Y
ERR4281158,4M
ERR4281159,5Y
ERR4281160,12M
ERR4281161,4M
ERR4281162,B
ERR4281167,12M
ERR4281168,4M
ERR4281169,B
ERR4281170,12M
ERR4281171,3Y
ERR4281172,5Y
ERR4281174,12M
ERR4281175,3Y
ERR4281176,4M
ERR4281177,5Y
ERR4281178,12M
ERR4281179,3Y
ERR4281180,4M
ERR4281181,5Y
ERR4281183,12M
ERR4281184,3Y
ERR4281185,5Y
ERR4281186,12M
ERR4281187,3Y
ERR4281188,4M
ERR4281189,5Y
ERR4281190,B
ERR4281192,B
ERR4281193,12M
ERR4281194,4M
ERR4281195,B
ERR4281196,12M
ERR4281197,B
ERR4281198,12M
ERR4281199,3Y
ERR4281200,4M
ERR4281201,B
ERR4281203,12M
ERR4281204,3Y
ERR4281205,4M
ERR4281206,5Y
ERR4281207,B
ERR4281209,12M
ERR4281210,3Y
ERR4281211,4M
ERR4281212,5Y
ERR4281213,B
ERR4281214,12M
ERR4281216,4M
ERR4281217,B
ERR4281219,4M
ERR4281220,B
ERR4281221,12M
ERR4281222,3Y
ERR4281223,4M
ERR4281224,B
ERR4281227,12M
ERR4281228,3Y
ERR4281229,4M
ERR4281231,12M
ERR4281232,3Y
ERR4281233,4M
ERR4281234,5Y
ERR4281235,B
ERR4281237,12M
ERR4281238,3Y
ERR4281239,4M
ERR4281240,5Y
ERR4281241,B
ERR4281244,12M
ERR4281245,3Y
ERR4281246,4M
ERR4281247,5Y
ERR4281249,4M
ERR4281252,12M
ERR4281253,3Y
ERR4281254,4M
ERR4281255,B
ERR4281257,12M
ERR4281258,3Y
ERR4281259,4M
ERR4281260,5Y
ERR4281261,B
ERR4281263,12M
ERR4281264,3Y
ERR4281265,4M
ERR4281266,5Y
ERR4281267,B
ERR4281268,12M
ERR4281269,4M
ERR4281270,B
ERR4281272,12M
ERR4281273,3Y
ERR4281274,4M
ERR4281275,5Y
ERR4281276,B
ERR4281278,4M
ERR4281279,12M
ERR4281281,3Y
ERR4281282,5Y
ERR4281283,12M
ERR4281284,3Y
ERR4281285,4M
ERR4281286,5Y
ERR4281287,B
ERR4281290,12M
ERR4281291,3Y
ERR4281292,4M
ERR4281293,B
ERR4281295,12M
ERR4281296,4M
ERR4281297,B
ERR4281299,12M
ERR4281300,3Y
ERR4281301,4M
ERR4281302,5Y
ERR4281303,B
ERR4281305,12M
ERR4281306,3Y
ERR4281307,4M
ERR4281308,5Y
ERR4281309,B
ERR4281311,12M
ERR4281312,3Y
ERR4281313,4M
ERR4281314,5Y
ERR4281315,B
ERR4281319,12M
ERR4281320,3Y
ERR4281321,4M
ERR4281322,5Y
ERR4281323,B
ERR4281325,12M
ERR4281327,3Y
ERR4281328,4M
ERR4281329,5Y
ERR4281330,B
ERR4281334,12M
ERR4281335,12M
ERR4281336,3Y
ERR4281337,4M
ERR4281338,5Y
ERR4281340,12M
ERR4281341,3Y
ERR4281342,4M
ERR4281343,5Y
ERR4281344,B
ERR4281349,12M
ERR4281350,3Y
ERR4281351,4M
ERR4281352,B
ERR4281354,12M
ERR4281356,3Y
ERR4281357,4M
