SampleID,Env
ERR4281055,root:12M:C
ERR4281016,root:3Y:C
ERR4281054,root:4M:C
ERR4281017,root:5Y:C
ERR4281061,root:B:C
ERR4281018,root:M
ERR4281060,root:M
ERR4281019,root:4M:C
ERR4281062,root:M
ERR4281020,root:12M:C
ERR4281063,root:3Y:C
ERR4281021,root:4M:C
ERR4281064,root:5Y:C
ERR4281022,root:B:C
ERR4281065,root:M
ERR4281023,root:12M:C
ERR4281066,root:3Y:C
ERR4281024,root:4M:C
ERR4281067,root:5Y:C
ERR4281025,root:B:C
ERR4281068,root:M
ERR4281026,root:12M:C
ERR4281069,root:4M:C
ERR4281027,root:5Y:C
ERR4281070,root:B:C
ERR4281028,root:M
ERR4281071,root:12M:C
ERR4281029,root:3Y:C
ERR4281072,root:4M:C
ERR4281030,root:5Y:C
ERR4281073,root:B:C
ERR4281031,root:M
ERR4281074,root:12M:C
ERR4281032,root:4M:C
ERR4281075,root:B:C
ERR4281033,root:M
ERR4281076,root:12M:C
ERR4281034,root:3Y:C
ERR4281077,root:4M:C
ERR4281035,root:5Y:C
ERR4281078,root:B:C
ERR4281036,root:M
ERR4281079,root:12M:V
ERR4281037,root:12M:C
ERR4281080,root:4M:C
ERR4281038,root:B:C
ERR4281081,root:M
ERR4281039,root:12M:C
ERR4281082,root:3Y:C
ERR4281040,root:4M:C
ERR4281083,root:5Y:C
ERR4281041,root:B:C
ERR4281084,root:M
ERR4281042,root:12M:C
ERR4281085,root:3Y:C
ERR4281043,root:5Y:C
ERR4281086,root:12M:V
ERR4281044,root:3Y:V
ERR4281087,root:12M:C
ERR4281045,root:3Y:C
ERR4281088,root:4M:C
ERR4281046,root:5Y:C
ERR4281089,root:B:C
ERR4281047,root:4M:V
ERR4281090,root:M
ERR4281048,root:12M:C
ERR4281091,root:3Y:C
ERR4281049,root:4M:C
ERR4281092,root:5Y:C
ERR4281050,root:B:C
ERR4281093,root:M
ERR4281051,root:5Y:V
ERR4281094,root:12M:C
ERR4281052,root:3Y:C
ERR4281095,root:4M:C
ERR4281053,root:5Y:C
ERR4281056,root:B:C
ERR4281096,root:M
ERR4281057,root:M
ERR4281097,root:12M:C
ERR4281058,root:3Y:C
ERR4281059,root:4M:C
ERR4281098,root:B:C
ERR4281099,root:M
ERR4281100,root:12M:C
ERR4281101,root:12M:C
ERR4281102,root:3Y:C
ERR4281103,root:4M:C
ERR4281104,root:5Y:C
ERR4281105,root:B:C
ERR4281106,root:M
ERR4281107,root:3Y:C
ERR4281108,root:4M:C
ERR4281109,root:3Y:C
ERR4281110,root:4M:C
ERR4281111,root:B:C
ERR4281112,root:M
ERR4281113,root:3Y:V
ERR4281114,root:12M:V
ERR4281115,root:12M:C
ERR4281116,root:3Y:C
ERR4281117,root:4M:C
ERR4281118,root:5Y:C
ERR4281119,root:M
ERR4281120,root:12M:C
ERR4281121,root:3Y:C
ERR4281122,root:4M:C
ERR4281123,root:5Y:C
ERR4281124,root:B:C
ERR4281125,root:M
ERR4281126,root:3Y:V
ERR4281127,root:4M:V
ERR4281128,root:12M:C
ERR4281129,root:3Y:C
ERR4281130,root:4M:C
ERR4281131,root:5Y:C
ERR4281132,root:B:C
ERR4281133,root:M
ERR4281134,root:5Y:V
ERR4281135,root:4M:C
ERR4281136,root:4M:V
ERR4281137,root:12M:C
ERR4281138,root:4M:C
ERR4281139,root:5Y:C
ERR4281140,root:B:C
ERR4281141,root:M
ERR4281142,root:12M:C
ERR4281143,root:12M:V
ERR4281144,root:3Y:C
ERR4281145,root:4M:C
ERR4281146,root:B:C
ERR4281147,root:M
ERR4281148,root:3Y:V
ERR4281149,root:12M:C
ERR4281150,root:3Y:C
ERR4281151,root:4M:C
ERR4281152,root:5Y:C
ERR4281153,root:4M:V
ERR4281154,root:M
ERR4281155,root:5Y:V
ERR4281156,root:12M:C
ERR4281157,root:3Y:C
ERR4281158,root:4M:C
ERR4281159,root:5Y:C
ERR4281160,root:12M:C
ERR4281161,root:4M:C
ERR4281162,root:B:C
ERR4281163,root:M
ERR4281164,root:B:V
ERR4281165,root:M
ERR4281166,root:5Y:V
ERR4281167,root:12M:C
ERR4281168,root:4M:C
ERR4281169,root:B:C
ERR4281170,root:12M:C
ERR4281171,root:3Y:C
ERR4281172,root:5Y:C
ERR4281173,root:M
ERR4281174,root:12M:C
ERR4281175,root:3Y:C
ERR4281176,root:4M:C
ERR4281177,root:5Y:C
ERR4281178,root:12M:C
ERR4281179,root:3Y:C
ERR4281180,root:4M:C
ERR4281181,root:5Y:C
ERR4281182,root:M
ERR4281183,root:12M:C
ERR4281184,root:3Y:C
ERR4281185,root:5Y:C
ERR4281186,root:12M:C
ERR4281187,root:3Y:C
ERR4281188,root:4M:C
ERR4281189,root:5Y:C
ERR4281190,root:B:C
ERR4281191,root:M
ERR4281192,root:B:C
ERR4281193,root:12M:C
ERR4281194,root:4M:C
ERR4281195,root:B:C
ERR4281196,root:12M:C
