SampleID,Env
ERR4281079,12M
ERR4281086,12M
ERR4281044,3Y
ERR4281047,4M
ERR4281051,5Y
ERR4281113,3Y
ERR4281114,12M
ERR4281126,3Y
ERR4281127,4M
ERR4281134,5Y
ERR4281136,4M
ERR4281143,12M
ERR4281148,3Y
ERR4281153,4M
ERR4281155,5Y
ERR4281164,B
ERR4281166,5Y
ERR4281215,12M
ERR4281226,4M
ERR4281250,B
ERR4281280,12M
ERR4281289,4M
ERR4281317,B
ERR4281326,12M
ERR4281332,3Y
ERR4281333,4M
ERR4281347,12M
ERR4281355,12M
ERR4281373,3Y
ERR4281379,4M
ERR4281381,5Y
ERR4281395,12M
ERR4281400,3Y
ERR4281401,4M
ERR4281408,5Y
ERR4281523,12M
ERR4281537,3Y
ERR4281538,4M
ERR4281542,5Y
ERR4281579,3Y
ERR4281583,4M
ERR4281594,12M
ERR4281604,3Y
ERR4281610,4M
ERR4281612,5Y
ERR4281626,12M
ERR4281654,12M
ERR4281662,3Y
ERR4281663,4M
ERR4281664,5Y
ERR4281672,12M
ERR4281677,3Y
ERR4281680,4M
ERR4281704,3Y
ERR4281709,4M
ERR4281710,5Y
ERR4281711,12M
ERR4281712,4M
ERR4281713,B
ERR4281715,12M
ERR4281716,3Y
ERR4281717,4M
ERR4281718,5Y
ERR4281719,B
ERR4281721,B
ERR4281723,12M
ERR4281724,3Y
ERR4281725,4M
ERR4281727,12M
ERR4281728,12M
ERR4281729,3Y
ERR4281730,4M
ERR4281731,B
ERR4281733,12M
ERR4281734,4M
ERR4281735,5Y
ERR4281736,B
ERR4281738,4M
ERR4281739,12M
ERR4281740,4M
ERR4281741,5Y
ERR4281742,B
ERR4281744,12M
ERR4281745,3Y
ERR4281746,4M
ERR4281747,5Y
ERR4281748,B
ERR4281750,12M
ERR4281751,4M
ERR4281754,3Y
ERR4281755,12M
ERR4281756,3Y
ERR4281757,12M
ERR4281758,3Y
ERR4281759,4M
ERR4281760,5Y
ERR4281761,B
ERR4281763,12M
ERR4281764,3Y
ERR4281765,4M
ERR4281766,5Y
ERR4281768,4M
ERR4281769,12M
ERR4281770,3Y
ERR4281771,4M
ERR4281772,5Y
ERR4281773,B
ERR4281775,12M
ERR4281776,3Y
ERR4281777,4M
ERR4281778,5Y
ERR4281780,12M
ERR4281781,3Y
